OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
101,01-01-2013,15,Distributor,USD,NXH382,47,11,5,1963.1,9815.5,1001.181
102,01-01-2013,20,Wholesale,USD,GUT930,36,2,5,3939.6,19698,3348.66
103,01-01-2013,16,Export,USD,GUT930,39,11,10,1775.5,17755,781.22
104,01-01-2013,48,Export,USD,AXW291,20,7,6,2324.9,13949.4,1464.687
105,01-01-2013,49,Wholesale,USD,AXW291,20,7,6,1822.4,10934.4,1476.144
106,02-01-2013,21,Wholesale,USD,NXH382,52,5,6,1038.5,6231,446.555
107,02-01-2013,14,Distributor,USD,AXW291,1,1,10,1192.6,11926,536.67
108,02-01-2013,9,Distributor,USD,NXH382,51,1,10,1815.7,18157,1525.188
109,03-01-2013,9,Wholesale,USD,NXH382,54,6,7,3879.3,27155.1,2211.201
110,03-01-2013,33,Wholesale,USD,NXH382,47,1,6,1956.4,11738.4,1212.968
111,03-01-2013,21,Export,USD,AXW291,3,1,12,201,2412,124.62
112,03-01-2013,21,Distributor,USD,AXW291,28,11,8,6277.9,50223.2,2762.276
113,03-01-2013,36,Export,USD,NXH382,57,1,7,1051.9,7363.3,641.659
114,03-01-2013,17,Export,USD,NXH382,53,7,9,254.6,2291.4,216.41
115,03-01-2013,32,Distributor,USD,AXW291,25,11,5,3932.9,19664.5,3146.32
116,03-01-2013,11,Wholesale,USD,FLR025,64,6,10,1112.2,11122,700.686
117,03-01-2013,10,Wholesale,USD,NXH382,58,4,12,1239.5,14874,904.835
118,03-01-2013,30,Export,USD,AXW291,4,13,12,984.9,11818.8,393.96
119,04-01-2013,5,Distributor,USD,FLR025,63,1,5,5581.1,27905.5,4130.014
120,04-01-2013,23,Wholesale,USD,AXW291,25,7,8,3095.4,24763.2,1795.332
121,04-01-2013,46,Export,USD,GUT930,35,1,8,2278,18224,1754.06
122,04-01-2013,14,Export,USD,NXH382,51,2,12,991.6,11899.2,654.456
123,04-01-2013,40,Distributor,USD,AXW291,4,13,6,3979.8,23878.8,3064.446
124,04-01-2013,19,Wholesale,USD,GUT930,40,12,12,1969.8,23637.6,866.712
125,04-01-2013,15,Wholesale,USD,GUT930,31,8,12,268,3216,131.32
126,04-01-2013,46,Wholesale,USD,AXW291,20,7,11,174.2,1916.2,95.81
127,04-01-2013,32,Distributor,USD,GUT930,42,1,6,2988.2,17929.2,2510.088
128,05-01-2013,32,Wholesale,USD,GUT930,43,5,11,3999.9,43998.9,2679.933
129,05-01-2013,22,Distributor,USD,AXW291,18,11,10,5976.4,59764,2450.324
130,05-01-2013,5,Wholesale,USD,AXW291,19,5,6,2901.1,17406.6,2378.902
131,05-01-2013,29,Distributor,USD,NXH382,55,1,7,6076.9,42538.3,2734.605
132,05-01-2013,35,Distributor,USD,NXH382,55,5,6,5735.2,34411.2,4186.696
133,05-01-2013,46,Export,USD,GUT930,39,8,12,3919.5,47034,2077.335
134,05-01-2013,42,Distributor,USD,FLR025,66,13,8,6083.6,48668.8,3832.668
135,06-01-2013,2,Wholesale,USD,FLR025,61,13,5,2566.1,12830.5,1642.304
